Subject,bomb,death,drone,free,military,school,small,tax,using,waterboarding,abortion,foreign,gay,globalization,gun,illegal,pollution,pornography,socialism,welfare
RP001,4,5,4,2,4,3,3,3,5,5,4,4,4,3,3,3,4,3,3,4
RP002,3,5,4,3,5,5,3,4,4,5,5,3,5,3,4,3,4,2,5,5
RP004,3,5,5,2,3,4,2,2,4,4,4,3,4,2,5,4,5,2,3,2
RP006,4,4,3,2,3,2,2,4,4,4,4,3,4,2,4,4,4,2,5,4
RP007,2,3,3,5,3,3,3,1,3,3,3,5,1,5,3,4,3,1,3,5
RP011,4,2,4,1,3,1,1,2,4,1,5,3,5,1,2,3,2,2,1,4
RP012,1,1,1,5,5,5,1,1,5,1,5,5,5,5,5,5,5,1,5,5
RP013,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,2,3,3
RP015,5,5,5,4,5,3,5,5,5,4,4,5,5,4,5,5,5,2,5,5
RP016,4,4,2,2,1,2,1,3,3,3,3,3,3,3,2,4,4,2,1,2
RP017,4,4,4,4,4,4,4,3,4,4,5,3,5,4,5,4,5,4,3,5
RP018,2,5,2,2,3,5,3,3,2,2,5,3,5,5,5,3,5,1,3,4
RP020,4,4,4,4,5,1,3,3,5,4,5,5,1,5,5,5,5,1,5,3
RP022,2,2,3,2,2,3,2,2,3,3,5,2,4,2,4,3,3,3,2,2
RP023,4,3,4,4,3,5,1,4,5,4,5,3,5,5,5,4,5,4,2,5
RP025,3,2,2,1,2,4,1,2,3,3,3,2,5,1,3,4,5,1,1,4
RP026,5,3,2,3,5,5,2,5,5,5,3,2,5,3,5,3,5,2,5,3
RP027,4,5,2,3,2,5,3,3,5,3,5,3,1,4,5,1,4,1,3,4
RP028,4,2,1,1,1,3,1,1,3,1,4,2,1,1,3,1,3,3,1,3
RP029,4,3,4,4,3,1,3,5,3,2,5,3,3,4,4,4,3,2,1,4
RP030,4,4,4,3,3,4,3,4,5,4,4,2,4,3,4,4,3,3,2,4
RP031,2,4,2,3,2,4,2,4,2,2,5,2,5,2,3,3,5,2,4,4
RP032,3,4,4,3,3,5,3,3,5,3,5,3,5,3,5,3,5,4,3,3
RP033,5,4,4,1,4,4,3,3,5,5,5,4,4,3,5,3,5,2,3,4
RP035,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
RP036,5,4,4,4,3,3,2,3,3,3,5,2,3,3,2,4,5,1,1,3
RP037,3,3,3,1,1,4,1,3,4,3,4,3,5,2,4,3,3,2,2,3
RP038,2,4,3,4,3,4,3,4,2,4,5,5,5,4,4,5,3,1,3,5
RP039,4,4,4,3,4,2,3,3,4,4,4,3,4,3,5,5,5,4,3,4
RP040,3,4,3,1,3,3,3,3,3,4,2,1,5,1,5,3,4,1,3,2
RP041,4,5,4,1,3,2,1,2,2,2,2,4,2,4,4,4,2,1,4,4
RP042,4,4,4,3,1,2,3,4,3,4,4,5,5,3,4,4,1,4,1,4
